player,player_id,season
Bam Adebayo,adebaba01,2024
Giannis Antetokounmpo,antetgi01,2024
Paolo Banchero,banchpa01,2024
Scottie Barnes,barnesc01,2024
Jaylen Brown,brownja02,2024
Jalen Brunson,brunsja01,2024
Joel Embiid,embiijo01,2024
Tyrese Haliburton,halibty01,2024
Damian Lillard,lillada01,2024
Tyrese Maxey,maxeyty01,2024
Donovan Mitchell,mitchdo01,2024
Julius Randle,randlju01,2024
Jayson Tatum,tatumja01,2024
Trae Young,youngtr01,2024
Devin Booker,bookede01,2024
Stephen Curry,curryst01,2024
Anthony Davis,davisan02,2024
Luka Dončić,doncilu01,2024
Kevin Durant,duranke01,2024
Anthony Edwards,edwaran01,2024
Paul George,georgpa01,2024
Shai Gilgeous-Alexander,gilgesh01,2024
LeBron James,jamesle01,2024
Nikola Jokić,jokicni01,2024
Kawhi Leonard,leonaka01,2024
Karl-Anthony Towns,townska01,2024
Bam Adebayo,adebaba01,2023
Giannis Antetokounmpo,antetgi01,2023
DeMar DeRozan,derozde01,2023
Kevin Durant,duranke01,2023
Shai Gilgeous-Alexander,gilgesh01,2023
Jrue Holiday,holidjr01,2023
Damian Lillard,lillada01,2023
Lauri Markkanen,markkla01,2023
Donovan Mitchell,mitchdo01,2023
Ja Morant,moranja01,2023
Domantas Sabonis,sabondo01,2023
Pascal Siakam,siakapa01,2023
Jayson Tatum,tatumja01,2023
Jaylen Brown,brownja02,2023
Stephen Curry,curryst01,2023
Luka Dončić,doncilu01,2023
Anthony Edwards,edwaran01,2023
Joel Embiid,embiijo01,2023
De'Aaron Fox,foxde01,2023
Paul George,georgpa01,2023
Tyrese Haliburton,halibty01,2023
Kyrie Irving,irvinky01,2023
Jaren Jackson Jr.,jacksja02,2023
LeBron James,jamesle01,2023
Nikola Jokić,jokicni01,2023
Julius Randle,randlju01,2023
Zion Williamson,willizi01,2023
LaMelo Ball,ballla01,2022
Devin Booker,bookede01,2022
Kevin Durant,duranke01,2022
Joel Embiid,embiijo01,2022
Rudy Gobert,goberru01,2022
Draymond Green,greendr01,2022
Zach LaVine,lavinza01,2022
Khris Middleton,middlkh01,2022
Ja Morant,moranja01,2022
Dejounte Murray,murrade01,2022
Jayson Tatum,tatumja01,2022
Karl-Anthony Towns,townska01,2022
Andrew Wiggins,wiggian01,2022
Trae Young,youngtr01,2022
Jarrett Allen,allenja01,2022
Giannis Antetokounmpo,antetgi01,2022
Jimmy Butler,butleji01,2022
Stephen Curry,curryst01,2022
DeMar DeRozan,derozde01,2022
Luka Dončić,doncilu01,2022
Darius Garland,garlada01,2022
James Harden,hardeja01,2022
LeBron James,jamesle01,2022
Nikola Jokić,jokicni01,2022
Donovan Mitchell,mitchdo01,2022
Chris Paul,paulch01,2022
Fred VanVleet,vanvlfr01,2022
Bradley Beal,bealbr01,2021
Devin Booker,bookede01,2021
Mike Conley,conlemi01,2021
Anthony Davis,davisan02,2021
Kevin Durant,duranke01,2021
Joel Embiid,embiijo01,2021
James Harden,hardeja01,2021
Kyrie Irving,irvinky01,2021
Zach LaVine,lavinza01,2021
Kawhi Leonard,leonaka01,2021
Donovan Mitchell,mitchdo01,2021
Julius Randle,randlju01,2021
Jayson Tatum,tatumja01,2021
Nikola Vučević,vucevni01,2021
Zion Williamson,willizi01,2021
Giannis Antetokounmpo,antetgi01,2021
Jaylen Brown,brownja02,2021
Stephen Curry,curryst01,2021
Luka Dončić,doncilu01,2021
Paul George,georgpa01,2021
Rudy Gobert,goberru01,2021
LeBron James,jamesle01,2021
Nikola Jokić,jokicni01,2021
Damian Lillard,lillada01,2021
Chris Paul,paulch01,2021
Domantas Sabonis,sabondo01,2021
Ben Simmons,simmobe01,2021
Bam Adebayo,adebaba01,2020
Giannis Antetokounmpo,antetgi01,2020
Jimmy Butler,butleji01,2020
Joel Embiid,embiijo01,2020
Rudy Gobert,goberru01,2020
Brandon Ingram,ingrabr01,2020
Kyle Lowry,lowryky01,2020
Khris Middleton,middlkh01,2020
Donovan Mitchell,mitchdo01,2020
Pascal Siakam,siakapa01,2020
Kemba Walker,walkeke02,2020
Trae Young,youngtr01,2020
Devin Booker,bookede01,2020
Anthony Davis,davisan02,2020
Luka Dončić,doncilu01,2020
James Harden,hardeja01,2020
LeBron James,jamesle01,2020
Nikola Jokić,jokicni01,2020
Kawhi Leonard,leonaka01,2020
Damian Lillard,lillada01,2020
Chris Paul,paulch01,2020
Domantas Sabonis,sabondo01,2020
Ben Simmons,simmobe01,2020
Jayson Tatum,tatumja01,2020
Russell Westbrook,westbru01,2020
Giannis Antetokounmpo,antetgi01,2019
Stephen Curry,curryst01,2019
Joel Embiid,embiijo01,2019
Paul George,georgpa01,2019
Blake Griffin,griffbl01,2019
Nikola Jokić,jokicni01,2019
Kyle Lowry,lowryky01,2019
Khris Middleton,middlkh01,2019
Dirk Nowitzki,nowitdi01,2019
Victor Oladipo,oladivi01,2019
D'Angelo Russell,russeda01,2019
Nikola Vučević,vucevni01,2019
Kemba Walker,walkeke02,2019
Russell Westbrook,westbru01,2019
LaMarcus Aldridge,aldrila01,2019
Bradley Beal,bealbr01,2019
Anthony Davis,davisan02,2019
Kevin Durant,duranke01,2019
James Harden,hardeja01,2019
Kyrie Irving,irvinky01,2019
LeBron James,jamesle01,2019
Kawhi Leonard,leonaka01,2019
Damian Lillard,lillada01,2019
Ben Simmons,simmobe01,2019
Klay Thompson,thompkl01,2019
Karl-Anthony Towns,townska01,2019
Dwyane Wade,wadedw01,2019
LaMarcus Aldridge,aldrila01,2018
Bradley Beal,bealbr01,2018
DeMarcus Cousins,couside01,2018
Anthony Davis,davisan02,2018
Goran Dragić,dragigo01,2018
Andre Drummond,drumman01,2018
Kevin Durant,duranke01,2018
Paul George,georgpa01,2018
Kyrie Irving,irvinky01,2018
LeBron James,jamesle01,2018
Kevin Love,loveke01,2018
Victor Oladipo,oladivi01,2018
Kristaps Porziņģis,porzikr01,2018
Kemba Walker,walkeke02,2018
John Wall,walljo01,2018
Russell Westbrook,westbru01,2018
Giannis Antetokounmpo,antetgi01,2018
Jimmy Butler,butleji01,2018
Stephen Curry,curryst01,2018
DeMar DeRozan,derozde01,2018
Joel Embiid,embiijo01,2018
Draymond Green,greendr01,2018
James Harden,hardeja01,2018
Al Horford,horfoal01,2018
Damian Lillard,lillada01,2018
Kyle Lowry,lowryky01,2018
Klay Thompson,thompkl01,2018
Karl-Anthony Towns,townska01,2018
Giannis Antetokounmpo,antetgi01,2017
Carmelo Anthony,anthoca01,2017
Jimmy Butler,butleji01,2017
DeMar DeRozan,derozde01,2017
Paul George,georgpa01,2017
Kyrie Irving,irvinky01,2017
LeBron James,jamesle01,2017
Kevin Love,loveke01,2017
Kyle Lowry,lowryky01,2017
Paul Millsap,millspa01,2017
Isaiah Thomas,thomais02,2017
Kemba Walker,walkeke02,2017
John Wall,walljo01,2017
DeMarcus Cousins,couside01,2017
Stephen Curry,curryst01,2017
Anthony Davis,davisan02,2017
Kevin Durant,duranke01,2017
Marc Gasol,gasolma01,2017
Draymond Green,greendr01,2017
James Harden,hardeja01,2017
Gordon Hayward,haywago01,2017
DeAndre Jordan,jordade01,2017
Kawhi Leonard,leonaka01,2017
Klay Thompson,thompkl01,2017
Russell Westbrook,westbru01,2017
Carmelo Anthony,anthoca01,2016
Chris Bosh,boshch01,2016
Jimmy Butler,butleji01,2016
DeMar DeRozan,derozde01,2016
Andre Drummond,drumman01,2016
Pau Gasol,gasolpa01,2016
Paul George,georgpa01,2016
Al Horford,horfoal01,2016
LeBron James,jamesle01,2016
Kyle Lowry,lowryky01,2016
Paul Millsap,millspa01,2016
Isaiah Thomas,thomais02,2016
Dwyane Wade,wadedw01,2016
John Wall,walljo01,2016
LaMarcus Aldridge,aldrila01,2016
Kobe Bryant,bryanko01,2016
DeMarcus Cousins,couside01,2016
Stephen Curry,curryst01,2016
Anthony Davis,davisan02,2016
Kevin Durant,duranke01,2016
Draymond Green,greendr01,2016
James Harden,hardeja01,2016
Kawhi Leonard,leonaka01,2016
Chris Paul,paulch01,2016
Klay Thompson,thompkl01,2016
Russell Westbrook,westbru01,2016
Carmelo Anthony,anthoca01,2015
Chris Bosh,boshch01,2015
Jimmy Butler,butleji01,2015
Pau Gasol,gasolpa01,2015
Al Horford,horfoal01,2015
Kyrie Irving,irvinky01,2015
LeBron James,jamesle01,2015
Kyle Korver,korveky01,2015
Kyle Lowry,lowryky01,2015
Paul Millsap,millspa01,2015
Jeff Teague,teaguje01,2015
Dwyane Wade,wadedw01,2015
John Wall,walljo01,2015
LaMarcus Aldridge,aldrila01,2015
Kobe Bryant,bryanko01,2015
DeMarcus Cousins,couside01,2015
Stephen Curry,curryst01,2015
Anthony Davis,davisan02,2015
Tim Duncan,duncati01,2015
Kevin Durant,duranke01,2015
Marc Gasol,gasolma01,2015
Blake Griffin,griffbl01,2015
James Harden,hardeja01,2015
Damian Lillard,lillada01,2015
Dirk Nowitzki,nowitdi01,2015
Chris Paul,paulch01,2015
Klay Thompson,thompkl01,2015
Russell Westbrook,westbru01,2015
Carmelo Anthony,anthoca01,2014
Chris Bosh,boshch01,2014
DeMar DeRozan,derozde01,2014
Paul George,georgpa01,2014
Roy Hibbert,hibbero01,2014
Kyrie Irving,irvinky01,2014
LeBron James,jamesle01,2014
Joe Johnson,johnsjo02,2014
Paul Millsap,millspa01,2014
Joakim Noah,noahjo01,2014
Dwyane Wade,wadedw01,2014
John Wall,walljo01,2014
LaMarcus Aldridge,aldrila01,2014
Kobe Bryant,bryanko01,2014
Stephen Curry,curryst01,2014
Anthony Davis,davisan02,2014
Kevin Durant,duranke01,2014
Blake Griffin,griffbl01,2014
James Harden,hardeja01,2014
Dwight Howard,howardw01,2014
Damian Lillard,lillada01,2014
Kevin Love,loveke01,2014
Dirk Nowitzki,nowitdi01,2014
Tony Parker,parketo01,2014
Chris Paul,paulch01,2014
Carmelo Anthony,anthoca01,2013
Chris Bosh,boshch01,2013
Tyson Chandler,chandty01,2013
Luol Deng,denglu01,2013
Kevin Garnett,garneke01,2013
Paul George,georgpa01,2013
Jrue Holiday,holidjr01,2013
Kyrie Irving,irvinky01,2013
LeBron James,jamesle01,2013
Brook Lopez,lopezbr01,2013
Joakim Noah,noahjo01,2013
Rajon Rondo,rondora01,2013
Dwyane Wade,wadedw01,2013
LaMarcus Aldridge,aldrila01,2013
Kobe Bryant,bryanko01,2013
Tim Duncan,duncati01,2013
Kevin Durant,duranke01,2013
Blake Griffin,griffbl01,2013
James Harden,hardeja01,2013
Dwight Howard,howardw01,2013
David Lee,leeda02,2013
Tony Parker,parketo01,2013
Chris Paul,paulch01,2013
Zach Randolph,randoza01,2013
Russell Westbrook,westbru01,2013
Carmelo Anthony,anthoca01,2012
Chris Bosh,boshch01,2012
Luol Deng,denglu01,2012
Roy Hibbert,hibbero01,2012
Dwight Howard,howardw01,2012
Andre Iguodala,iguodan01,2012
LeBron James,jamesle01,2012
Joe Johnson,johnsjo02,2012
Paul Pierce,piercpa01,2012
Rajon Rondo,rondora01,2012
Derrick Rose,rosede01,2012
Dwyane Wade,wadedw01,2012
Deron Williams,willide01,2012
LaMarcus Aldridge,aldrila01,2012
Kobe Bryant,bryanko01,2012
Andrew Bynum,bynuman01,2012
Kevin Durant,duranke01,2012
Marc Gasol,gasolma01,2012
Blake Griffin,griffbl01,2012
Kevin Love,loveke01,2012
Steve Nash,nashst01,2012
Dirk Nowitzki,nowitdi01,2012
Tony Parker,parketo01,2012
Chris Paul,paulch01,2012
Russell Westbrook,westbru01,2012
Ray Allen,allenra02,2011
Chris Bosh,boshch01,2011
Kevin Garnett,garneke01,2011
Al Horford,horfoal01,2011
Dwight Howard,howardw01,2011
LeBron James,jamesle01,2011
Joe Johnson,johnsjo02,2011
Paul Pierce,piercpa01,2011
Rajon Rondo,rondora01,2011
Derrick Rose,rosede01,2011
Amar'e Stoudemire,stoudam01,2011
Dwyane Wade,wadedw01,2011
Carmelo Anthony,anthoca01,2011
Kobe Bryant,bryanko01,2011
Tim Duncan,duncati01,2011
Kevin Durant,duranke01,2011
Pau Gasol,gasolpa01,2011
Manu Ginóbili,ginobma01,2011
Blake Griffin,griffbl01,2011
Kevin Love,loveke01,2011
Yao Ming,mingya01,2011
Dirk Nowitzki,nowitdi01,2011
Chris Paul,paulch01,2011
Russell Westbrook,westbru01,2011
Deron Williams,willide01,2011
Chris Bosh,boshch01,2010
Kevin Garnett,garneke01,2010
Al Horford,horfoal01,2010
Dwight Howard,howardw01,2010
Allen Iverson,iversal01,2010
LeBron James,jamesle01,2010
Joe Johnson,johnsjo02,2010
David Lee,leeda02,2010
Paul Pierce,piercpa01,2010
Rajon Rondo,rondora01,2010
Derrick Rose,rosede01,2010
Dwyane Wade,wadedw01,2010
Gerald Wallace,wallage01,2010
Carmelo Anthony,anthoca01,2010
Chauncey Billups,billuch01,2010
Kobe Bryant,bryanko01,2010
Tim Duncan,duncati01,2010
Kevin Durant,duranke01,2010
Pau Gasol,gasolpa01,2010
Chris Kaman,kamanch01,2010
Jason Kidd,kiddja01,2010
Steve Nash,nashst01,2010
Dirk Nowitzki,nowitdi01,2010
Chris Paul,paulch01,2010
Zach Randolph,randoza01,2010
Brandon Roy,roybr01,2010
Amar'e Stoudemire,stoudam01,2010
Deron Williams,willide01,2010
Ray Allen,allenra02,2009
Chris Bosh,boshch01,2009
Kevin Garnett,garneke01,2009
Danny Granger,grangda01,2009
Devin Harris,harride01,2009
Dwight Howard,howardw01,2009
Allen Iverson,iversal01,2009
LeBron James,jamesle01,2009
Joe Johnson,johnsjo02,2009
Rashard Lewis,lewisra02,2009
Jameer Nelson,nelsoja01,2009
Paul Pierce,piercpa01,2009
Dwyane Wade,wadedw01,2009
Mo Williams,willima01,2009
Chauncey Billups,billuch01,2009
Kobe Bryant,bryanko01,2009
Tim Duncan,duncati01,2009
Pau Gasol,gasolpa01,2009
Yao Ming,mingya01,2009
Dirk Nowitzki,nowitdi01,2009
Shaquille O'Neal,onealsh01,2009
Tony Parker,parketo01,2009
Chris Paul,paulch01,2009
Brandon Roy,roybr01,2009
Amar'e Stoudemire,stoudam01,2009
David West,westda01,2009
Ray Allen,allenra02,2008
Chauncey Billups,billuch01,2008
Chris Bosh,boshch01,2008
Caron Butler,butleca01,2008
Kevin Garnett,garneke01,2008
Richard Hamilton,hamilri01,2008
Dwight Howard,howardw01,2008
LeBron James,jamesle01,2008
Antawn Jamison,jamisan01,2008
Joe Johnson,johnsjo02,2008
Jason Kidd,kiddja01,2008
Paul Pierce,piercpa01,2008
Dwyane Wade,wadedw01,2008
Rasheed Wallace,wallara01,2008
Carmelo Anthony,anthoca01,2008
Carlos Boozer,boozeca01,2008
Kobe Bryant,bryanko01,2008
Tim Duncan,duncati01,2008
Allen Iverson,iversal01,2008
Yao Ming,mingya01,2008
Steve Nash,nashst01,2008
Dirk Nowitzki,nowitdi01,2008
Chris Paul,paulch01,2008
Brandon Roy,roybr01,2008
Amar'e Stoudemire,stoudam01,2008
David West,westda01,2008
Gilbert Arenas,arenagi01,2007
Chauncey Billups,billuch01,2007
Chris Bosh,boshch01,2007
Caron Butler,butleca01,2007
Vince Carter,cartevi01,2007
Richard Hamilton,hamilri01,2007
Dwight Howard,howardw01,2007
LeBron James,jamesle01,2007
Joe Johnson,johnsjo02,2007
Jason Kidd,kiddja01,2007
Jermaine O'Neal,onealje01,2007
Shaquille O'Neal,onealsh01,2007
Dwyane Wade,wadedw01,2007
Ray Allen,allenra02,2007
Carmelo Anthony,anthoca01,2007
Carlos Boozer,boozeca01,2007
Kobe Bryant,bryanko01,2007
Tim Duncan,duncati01,2007
Kevin Garnett,garneke01,2007
Josh Howard,howarjo01,2007
Allen Iverson,iversal01,2007
Shawn Marion,mariosh01,2007
Tracy McGrady,mcgratr01,2007
Yao Ming,mingya01,2007
Steve Nash,nashst01,2007
Dirk Nowitzki,nowitdi01,2007
Mehmet Okur ,okurme01,2007
Tony Parker,parketo01,2007
Amar'e Stoudemire,stoudam01,2007
Gilbert Arenas,arenagi01,2006
Chauncey Billups,billuch01,2006
Chris Bosh,boshch01,2006
Vince Carter,cartevi01,2006
Richard Hamilton,hamilri01,2006
Allen Iverson,iversal01,2006
LeBron James,jamesle01,2006
Jermaine O'Neal,onealje01,2006
Shaquille O'Neal,onealsh01,2006
Paul Pierce,piercpa01,2006
Dwyane Wade,wadedw01,2006
Ben Wallace,wallabe01,2006
Rasheed Wallace,wallara01,2006
Ray Allen,allenra02,2006
Elton Brand,brandel01,2006
Kobe Bryant,bryanko01,2006
Tim Duncan,duncati01,2006
Kevin Garnett,garneke01,2006
Pau Gasol,gasolpa01,2006
Shawn Marion,mariosh01,2006
Tracy McGrady,mcgratr01,2006
Yao Ming,mingya01,2006
Steve Nash,nashst01,2006
Dirk Nowitzki,nowitdi01,2006
Tony Parker,parketo01,2006
Gilbert Arenas,arenagi01,2005
Vince Carter,cartevi01,2005
Grant Hill,hillgr01,2005
Zydrunas Ilgauskas,ilgauzy01,2005
Allen Iverson,iversal01,2005
LeBron James,jamesle01,2005
Antawn Jamison,jamisan01,2005
Jermaine O'Neal,onealje01,2005
Shaquille O'Neal,onealsh01,2005
Paul Pierce,piercpa01,2005
Dwyane Wade,wadedw01,2005
Ben Wallace,wallabe01,2005
Ray Allen,allenra02,2005
Kobe Bryant,bryanko01,2005
Tim Duncan,duncati01,2005
Kevin Garnett,garneke01,2005
Manu Ginóbili,ginobma01,2005
Rashard Lewis,lewisra02,2005
Shawn Marion,mariosh01,2005
Tracy McGrady,mcgratr01,2005
Yao Ming,mingya01,2005
Steve Nash,nashst01,2005
Dirk Nowitzki,nowitdi01,2005
Amar'e Stoudemire,stoudam01,2005
Metta World Peace,artesro01,2004
Vince Carter,cartevi01,2004
Baron Davis,davisba01,2004
Allen Iverson,iversal01,2004
Jason Kidd,kiddja01,2004
Jamaal Magloire,magloja01,2004
Kenyon Martin,martike01,2004
Tracy McGrady,mcgratr01,2004
Jermaine O'Neal,onealje01,2004
Paul Pierce,piercpa01,2004
Michael Redd,reddmi01,2004
Ben Wallace,wallabe01,2004
Ray Allen,allenra02,2004
Kobe Bryant,bryanko01,2004
Sam Cassell,cassesa01,2004
Tim Duncan,duncati01,2004
Steve Francis,francst01,2004
Kevin Garnett,garneke01,2004
Andrei Kirilenko,kirilan01,2004
Brad Miller,millebr01,2004
Yao Ming,mingya01,2004
Dirk Nowitzki,nowitdi01,2004
Shaquille O'Neal,onealsh01,2004
Peja Stojaković,stojape01,2004
Vince Carter,cartevi01,2003
Zydrunas Ilgauskas,ilgauzy01,2003
Allen Iverson,iversal01,2003
Michael Jordan,jordami01,2003
Jason Kidd,kiddja01,2003
Jamal Mashburn,mashbja01,2003
Tracy McGrady,mcgratr01,2003
Brad Miller,millebr01,2003
Jermaine O'Neal,onealje01,2003
Paul Pierce,piercpa01,2003
Antoine Walker,walkean02,2003
Ben Wallace,wallabe01,2003
Kobe Bryant,bryanko01,2003
Tim Duncan,duncati01,2003
Steve Francis,francst01,2003
Kevin Garnett,garneke01,2003
Stephon Marbury,marbust01,2003
Shawn Marion,mariosh01,2003
Yao Ming,mingya01,2003
Steve Nash,nashst01,2003
Dirk Nowitzki,nowitdi01,2003
Shaquille O'Neal,onealsh01,2003
Gary Payton,paytoga01,2003
Peja Stojaković,stojape01,2003
Chris Webber,webbech01,2003
Shareef Abdur-Rahim,abdursh01,2002
Ray Allen,allenra02,2002
Vince Carter,cartevi01,2002
Baron Davis,davisba01,2002
Allen Iverson,iversal01,2002
Michael Jordan,jordami01,2002
Jason Kidd,kiddja01,2002
Tracy McGrady,mcgratr01,2002
Alonzo Mourning,mournal01,2002
Dikembe Mutombo,mutomdi01,2002
Jermaine O'Neal,onealje01,2002
Paul Pierce,piercpa01,2002
Antoine Walker,walkean02,2002
Elton Brand,brandel01,2002
Kobe Bryant,bryanko01,2002
Tim Duncan,duncati01,2002
Steve Francis,francst01,2002
Kevin Garnett,garneke01,2002
Karl Malone,malonka01,2002
Steve Nash,nashst01,2002
Dirk Nowitzki,nowitdi01,2002
Shaquille O'Neal,onealsh01,2002
Gary Payton,paytoga01,2002
Peja Stojaković,stojape01,2002
Wally Szczerbiak,szczewa02,2002
Chris Webber,webbech01,2002
Ray Allen,allenra02,2001
Vince Carter,cartevi01,2001
Antonio Davis,davisan01,2001
Grant Hill,hillgr01,2001
Allan Houston,houstal01,2001
Allen Iverson,iversal01,2001
Stephon Marbury,marbust01,2001
Anthony Mason,masonan01,2001
Tracy McGrady,mcgratr01,2001
Alonzo Mourning,mournal01,2001
Dikembe Mutombo,mutomdi01,2001
Theo Ratliff,ratlith01,2001
Glenn Robinson,robingl01,2001
Latrell Sprewell,sprewla01,2001
Jerry Stackhouse,stackje01,2001
Kobe Bryant,bryanko01,2001
Vlade Divac,divacvl01,2001
Tim Duncan,duncati01,2001
Michael Finley,finlemi01,2001
Kevin Garnett,garneke01,2001
Jason Kidd,kiddja01,2001
Karl Malone,malonka01,2001
Antonio McDyess,mcdyean01,2001
Shaquille O'Neal,onealsh01,2001
Gary Payton,paytoga01,2001
David Robinson,robinda01,2001
Rasheed Wallace,wallara01,2001
Chris Webber,webbech01,2001
Ray Allen,allenra02,2000
Vince Carter,cartevi01,2000
Dale Davis,davisda01,2000
Grant Hill,hillgr01,2000
Allan Houston,houstal01,2000
Allen Iverson,iversal01,2000
Eddie Jones,jonesed02,2000
Reggie Miller,millere01,2000
Alonzo Mourning,mournal01,2000
Dikembe Mutombo,mutomdi01,2000
Glenn Robinson,robingl01,2000
Jerry Stackhouse,stackje01,2000
Kobe Bryant,bryanko01,2000
Tim Duncan,duncati01,2000
Michael Finley,finlemi01,2000
Kevin Garnett,garneke01,2000
Jason Kidd,kiddja01,2000
Karl Malone,malonka01,2000
Shaquille O'Neal,onealsh01,2000
Gary Payton,paytoga01,2000
David Robinson,robinda01,2000
John Stockton,stockjo01,2000
Rasheed Wallace,wallara01,2000
Chris Webber,webbech01,2000
Anfernee Hardaway,hardaan01,1998
Tim Hardaway,hardati01,1998
Grant Hill,hillgr01,1998
Michael Jordan,jordami01,1998
Shawn Kemp,kempsh01,1998
Reggie Miller,millere01,1998
Dikembe Mutombo,mutomdi01,1998
Glen Rice,ricegl01,1998
Steve Smith,smithst01,1998
Rik Smits,smitsri01,1998
Antoine Walker,walkean02,1998
Jayson Williams,willija01,1998
Vin Baker,bakervi01,1998
Kobe Bryant,bryanko01,1998
